user_id,merchant,amount,timestamp,hour,day_of_week,is_weekend
190,Myntra,1541.37,1711074600,8,4,0
56,Myntra,677.25,1710037800,8,6,1
57,Amazon,1954.36,1706603400,14,1,0
41,Swiggy,103.49,1709029800,16,1,0
98,Flipkart,1963.9,1711787400,14,5,1
12,Flipkart,2304.9,1705131000,13,5,1
159,Zomato,344.85,1709112600,15,2,0
59,Myntra,580.59,1708075800,15,4,0
94,Swiggy,673.12,1707327000,23,2,0
175,Flipkart,2383.9,1705822200,13,6,1
70,Swiggy,641.18,1711157400,7,5,1
197,Amazon,2987.79,1711107000,17,4,0
146,Amazon,2862.07,1704688200,10,0,0
165,Myntra,5840.0,1707543000,11,5,1
110,Amazon,6007.0,1709087400,8,2,0
131,Amazon,7961.43,1710487800,13,4,0
109,Amazon,1260.68,1709515800,7,0,0
136,Myntra,6413.03,1710639000,7,6,1
138,Swiggy,143.62,1706891400,22,4,0
41,Flipkart,2469.26,1707053400,19,6,1
130,Myntra,3793.93,1709058600,0,2,0
156,Flipkart,5098.89,1705242600,20,6,1
1,Myntra,2892.14,1706239800,9,4,0
79,Amazon,9644.69,1710660600,13,6,1
18,Swiggy,815.05,1706661000,6,2,0
141,Amazon,5287.34,1709991000,19,5,1
187,Swiggy,439.84,1705901400,11,0,0
167,Flipkart,6032.81,1711686600,10,4,0
151,Swiggy,291.25,1708158600,14,5,1
162,Amazon,1077.3,1710131400,10,0,0
172,Zomato,828.0,1704688200,10,0,0
147,Amazon,9783.92,1709443800,11,6,1
111,Myntra,4122.75,1710405000,14,3,0
173,Flipkart,4476.74,1707982200,13,3,0
64,Amazon,4492.77,1711301400,23,6,1
72,Flipkart,2788.93,1706153400,9,3,0
13,Zomato,523.06,1709181000,10,3,0
193,Zomato,1090.95,1711301400,23,6,1
98,Flipkart,1504.23,1706671800,9,2,0
117,Amazon,6390.65,1704130200,23,0,0
40,Zomato,821.81,1707204600,13,1,0
139,Zomato,557.06,1706160600,11,3,0
41,Amazon,4783.48,1704717000,18,0,0
153,Amazon,1891.94,1704731400,22,0,0
153,Amazon,1428.16,1704799800,17,1,0
134,Myntra,3969.8,1704540600,17,5,1
172,Flipkart,5692.03,1707579000,21,5,1
19,Flipkart,6003.93,1711175400,12,5,1
68,Zomato,928.09,1704180600,13,1,0
